id,value
親子,23235
餐廳,12272
親子餐,7979
親子餐廳,7851
台北,4445
親子遊,4231
宜蘭,3727
台中,3304
民宿,3263
台灣,3215
旅遊,2591
公園,2310
咖啡,2269
日遊,2250
桃園,2012
台南,1956
新竹,1926
農場,1924
美食,1912
樂園,1883
子館,1881
親子館,1868
住宿,1838
高雄,1801
飯店,1761
小孩,1739
花蓮,1672
兒童,1641
滑梯,1559
溜滑梯,1490
北市,1435
苗栗,1358
森林,1344
好玩,1334
親子旅遊,1284
旅行,1275
日本,1275
一日,1255
南投,1225
物館,1197
新北,1191
博物,1154
博物館,1137
一日遊,1128
孩子,1105
北部,1094
世界,1038
幸福,1033
食記,1029
文化,1028
休閒,1008
觀光,917
景觀,899
渡假,896
花園,867
彰化,857
去處,846
生態,832
溫泉,811
墾丁,811
料理,800
好去,788
遊樂,748
廚房,726
好吃,712
嘉義,695
東京,674
景觀餐廳,666
台東,643
動物,638
露營,635
子民,631
觀光工廠,626
親子民宿,620
義大,614
自由,610
新北市,610
內湖,606
故事,581
玩樂,565
中部,565
寶寶,563
午茶,559
沖繩,555
板橋,553
沙坑,551
自由行,549
由行,549
北海,547
捷運,541
咖啡館,539
牧場,537
親子景點,512
下午茶,506
海洋,501
莊園,499
城堡,488
室內,485
童話,485
育兒,484
休閒農場,483
國小,480
步道,478
彩繪,472
歡樂,468
寶貝,466
創意,465
主題餐廳,460
雲林,457
屏東,451
友善,451
午餐,448
大利,446
自然,444
義大利,444
車站,436
溜小孩,429
北海道,427
臺北,426
香港,426
日月,426
台北市,422
兔子,421
淡水,421
老街,418
礁溪,418
初體驗,417
懶人,416
聚會,412
夢幻,408
戲區,399
清境,398
遊戲區,398
快樂,395
美味,395
假村,392
天堂,391
關西,389
好地,387
餐點,387
士林,386
信義,381
日月潭,380
月潭,380
南部,379
玩水,379
玩沙,377
國際,376
式餐,373
小人,370
大阪,368
生日,367
大飯店,363
美術,361
小朋,360
自助,359
教育,356
子的,352
半日,350
八里,348
童遊,348
二日,347
積木,346
竹北,342
大樹,339
渡假村,339
臺北市,339
動物園,339
日式,339
天一,338
球池,338
迪士,335
士尼,335
輕食,334
迪士尼,333
基隆,332
美術館,332
社區,332
早午,330
政府,328
孩的,327
客家,327
早午餐,325
中山,323
好好玩,322
玩具,320
旅館,320
子一,317
探索,315
同遊,315
埔里,313
家庭,313
大人,312
半日遊,312
澎湖,312
信誼,311
繪本,309
大溪,308
戶外,307
市政,304
平價,303
林口,303
野餐,302
科學,301
遊戲室,299
義式,298
市政府,297
庭園,297
三天,295
遊景,293
草莓,293
開心,292
文化園,291
冬山,288
田園,288
聚餐,283
夜市,282
兒童遊戲,280
戲水,278
農莊,277
羅東,277
三峽,275
巷弄,273
京都,272
暑假,270
新開,266
大安,265
紀念,264
餐廳推薦,263
中正,263
夏日,262
更新,262
新社,262
二日遊,261
東部,261
樂高,260
經驗,260
國立,259
幸福20號農場,259
童樂,258
機場,258
攻略,258
特展,256
北投,254
天母,253
藝文,253
松山,252
遊樂園,250
親子飯店,249
音樂,248
美式,247
故事館,247
出遊,245
海岸,244
南港,244
聖誕,244
購物,243
新加,243
泡湯,243
子共,242
新加坡,241
文創,241
加坡,241
日記,240
